date,cost_usd_high,cost_usd_avg,cost_usd_median,cost_usd_low,tx_count
2024-03-05,411.92863144575995,0.011478347715442296,0.0010222641799493928,0.0005795,45616444
2024-03-06,472.71665392380004,0.01337180043527772,0.0011191217516672456,0.0006038500000000001,50723920
2024-03-07,2177.71470705,0.01924016524199544,0.0013283175916144613,0.00065505,52727961
2024-03-08,587.5207343999999,0.014090230038929672,0.0012414322642679838,0.0007137500000000001,55634898
2024-03-09,1018.9907278499999,0.01448490797856711,0.0016397756210452074,0.0007224,68945535
2024-03-10,293.98073495,0.016072651500938447,0.001633393034493786,0.0007065000000000001,77597930
2024-03-11,706.7007067,0.017846428806293065,0.0015097288134132583,0.0006910500000000001,81264423
2024-03-12,1553.64273285,0.018632024803053534,0.0015271211645145537,0.00072,79737998
2024-03-13,14041.06741881652,0.017772015178110747,0.0017162036453509397,0.00074545,85748570
2024-03-14,1652.000826,0.025009516428992237,0.002454259237011587,0.0008025,83471573
2024-03-15,16246.821902099999,0.036806614141395966,0.0027537476730254964,0.0008302500000000002,88087849
2024-03-16,3825.4009563500003,0.04376165558242884,0.002792022907662291,0.00089005,84722981
2024-03-17,20626.10093755,0.048336362371522404,0.0029205343970510646,0.0008994000000000001,83307067
2024-03-18,22229.286005849997,0.06076413044917282,0.0039346042948215695,0.0009785500000000001,81681068
2024-03-19,21718.80090495,0.04586045841676682,0.0032978889944538857,0.000835,75268592
2024-03-20,21013.99587195,0.049639498133356094,0.003484023719365135,0.0008199500000000001,72914204
2024-03-21,3824.79784326804,0.060412489564347895,0.003836666354511885,0.0008826000000000001,78070184
2024-03-22,1723.6008618,0.03170309257018253,0.003379349303147985,0.0008413500000000001,77341978
2024-03-23,1138.21587555,0.02693703905772749,0.0026651300171988005,0.0008560500000000001,75986307
2024-03-24,2805.8226452999997,0.02460385016089245,0.0028329197201993157,0.0008591,78789555
2024-03-25,2229.40496095,0.0319789886491858,0.003522452553833093,0.0009073000000000001,79589994
2024-03-26,2660.8409503,0.035354696577555786,0.003549029227893191,0.0009346000000000001,79173849
2024-03-27,7388.0009235,0.029455375073658932,0.0033313080235914953,0.00090435,80738814
2024-03-28,6526.8009323999995,0.03382043390133572,0.002777463210050801,0.00090615,80997519
2024-03-29,5659.50094325,0.031578248174747414,0.0031166652561297574,0.0009194,82656638
2024-03-30,6837.951953700001,0.03682868016048021,0.0033614896174048794,0.0009577,81015354
2024-03-31,19010.568372432,0.03343472529956067,0.002703539879326642,0.0009718000000000001,79242792
2024-04-01,1772.73098485,0.03719216163275129,0.0028178113482654078,0.0009408000000000001,78248599
2024-04-02,381.7419087,0.03570569168902084,0.0025996929318069487,0.00088475,76760427
2024-04-03,1091.1648523404301,0.03246482580489079,0.002040020150143518,0.0008906500000000001,78996969
2024-04-04,1917.4989399500002,0.03380310387451848,0.0018916103262064555,0.0009044000000000001,82049601
2024-04-05,1976.8815001,0.02484839852979,0.0019536042500141594,0.0008442500000000001,87638138
2024-04-06,2450.8408753,0.023797896732731152,0.0028989629850645956,0.0008702500000000001,91036023
2024-04-07,2113.3026684,0.027841389771778222,0.003756047208751806,0.0008873000000000002,87190103
2024-04-08,35950.00089875,0.030501057290136382,0.003738534757070402,0.0008801500000000001,83878049
2024-04-09,810.31091622921,0.025838336060217248,0.0027644249030102626,0.0008504500000000001,89473023
2024-04-10,34492.000862299996,0.021836100012967527,0.002237571810578384,0.0008190000000000002,87230518
2024-04-11,2592.45086415,0.024560143071207602,0.001886547523757888,0.0008531000000000001,85155703
2024-04-12,1557.45086525,0.02118086532181274,0.0017344512518291898,0.0007443000000000001,78013960
2024-04-13,705.9007059,0.01703545197225083,0.0014269325252401599,0.0006081000000000001,71060244
2024-04-14,294.1267003,0.013807207116340703,0.0013515894196744632,0.0006583,72504397
2024-04-15,435.28877730000005,0.018595911822868436,0.0014924844754035313,0.0006743000000000001,75929014
2024-04-16,1319.4006597,0.016642578342138135,0.0013469658412663594,0.0006353000000000001,69025801
2024-04-17,969.99069285,0.012941585390022475,0.0014795728664410497,0.0006418000000000001,71349391
2024-04-18,285.7607144,0.013731116684919007,0.0014588871532116052,0.0006419,71067122
2024-04-19,269.76067439999997,0.015401706405964553,0.0015405686678454445,0.00064515,66632914
2024-04-20,212.56570855,0.012970165795388122,0.0014290553404109126,0.0007016500000000002,70330197
2024-04-21,445.71074285,0.011988206761393854,0.0013412937404541465,0.0007369000000000001,71409485
2024-04-22,3653.0407610500006,0.01843532515853354,0.0016077107280855411,0.0007360500000000001,70819224
2024-04-23,3105.2007763,0.019430523082573786,0.0017439851282164984,0.0007673000000000001,72084040
2024-04-24,2321.3167586,0.017972349150115745,0.001437817922832565,0.0007304500000000001,79991833
2024-04-25,741.65074179833,0.02032094872369857,0.0012694680969677343,0.0007144499999999999,81704348
2024-04-26,613.1858394000001,0.013323250440454803,0.0013071360174402185,0.0006957500000000001,79928727
2024-04-27,386.2687815,0.010463853571990644,0.0011200926850671639,0.0006739000000000001,75478221
2024-04-28,288.00072,0.011211873211072778,0.0012520518006593991,0.00068785,70437046
2024-04-29,2019.3008509330202,0.01458562770428544,0.001396781575034598,0.00066845,71674560
2024-04-30,333.93739139999997,0.010471424077430937,0.0012614338428845904,0.0006094000000000001,73926425
2024-05-01,528.9174943145699,0.009085392950190981,0.0011739566187682006,0.00059845,72481180
2024-05-02,273.5206838,0.012852312081117593,0.0013172361433933246,0.0006427500000000001,72044020
2024-05-03,370.11668540000005,0.017154027005813546,0.0013386423459287326,0.0006818500000000001,71999692
2024-05-04,249.40773355000002,0.01435534876443383,0.001345252606527968,0.0007135500000000001,74225253
2024-05-05,247.53772805000003,0.01315123574129749,0.0012370112905865306,0.0007188500000000002,74058049
2024-05-06,772.65077265,0.017943790653136785,0.0013303187507016682,0.0007285500000000001,73958664
2024-05-07,774.15079536171,0.020387228630037085,0.0014409426760165676,0.0007418500000000001,75634794
2024-05-08,586.0807326,0.015794693033061528,0.001267336224658557,0.0007024,76586488
2024-05-09,2451.91072115,0.017609979422246298,0.0013232224085296467,0.00070485,76743356
2024-05-10,884.6473270500001,0.016333150738834692,0.001299420760544405,0.0007252000000000001,78436696
2024-05-11,264.18728905,0.014220747717135622,0.0011677845166620919,0.00071785,81386198
2024-05-12,293.18073295,0.01499918586694276,0.0011549235879040642,0.0007174500000000001,79350656
2024-05-13,2545.2407486,0.02207475095118937,0.0013564617536033117,0.0006912000000000001,73504349
2024-05-14,1144.4807153,0.02139746611055712,0.0014521592464204845,0.0007106,72108810
2024-05-15,877.9127838500001,0.020965962904886934,0.0016436980855871618,0.0007081500000000001,73384117
2024-05-16,808.1508083116299,0.021824663341590406,0.0017248788558258325,0.00078615,73099183
2024-05-17,339.40084866969994,0.019149131488081127,0.00176871276139512,0.00079655,74745844
2024-05-18,856.9008568999999,0.016875889034740466,0.0016503306483075934,0.0008457500000000001,74810414
2024-05-19,1732.6008662999998,0.016160416243967395,0.0014867453511713937,0.00083405,75126930
2024-05-20,359.18089795,0.022894146395036678,0.0017514542142394534,0.0008407500000000001,71282321
2024-05-21,884.35088435,0.01980430117042237,0.0020529570456916824,0.0008767000000000001,76531087
2024-05-22,304.09770505,0.0191924254192751,0.0020007022582801386,0.0008800500000000001,76992653
2024-05-23,350.10087525,0.018733549461066975,0.001995345953994953,0.0008380500000000001,77351420
2024-05-24,340.52170259999997,0.02098379942360134,0.0017618504449722695,0.0008176000000000001,77976562
2024-05-25,338.68169340000003,0.01498066164150761,0.0016465274848599773,0.0008318000000000002,73668869
2024-05-26,325.4608136499999,0.018775234544834707,0.0017038070219411534,0.0008069,73614598
2024-05-27,2105.62585892655,0.025718409273205605,0.0020056740085457165,0.00081755,72141201
2024-05-28,1695.50084775,0.02566401389141694,0.001818636540727458,0.0008266500000000002,73720457
2024-05-29,2669.7946821,0.03665093422844077,0.002368698441733049,0.00083735,56373012
2024-05-30,1667.0008336667,0.03327655541010442,0.002220101088938902,0.0008202,58263207
2024-05-31,3348.4008371,0.02742202742002452,0.002005634807291155,0.00082115,57810079
2024-06-01,918.3908349,0.024814496626431766,0.0016368230315925607,0.0008285500000000001,57212904
2024-06-02,826.1508299502899,0.025099409578446228,0.0016283629792849257,0.0008091500000000001,54942666
2024-06-03,1242.0758280500002,0.03050729761925339,0.001943384552129684,0.0008108000000000001,55517862
