network,date,fee_token,gwei_high,gwei_avg,gwei_median,gwei_low,cost_usd_high,cost_usd_avg,cost_usd_median,cost_usd_low,tx_count
Arbitrum One,2025-03-17,ETH,0.088088,0.011525912176919105,0.01,0.01,0.010972544556584722,0.0014357073031122957,0.0012456344288194446,0.0012456344288194442,1765060
Base,2025-03-17,ETH,2151.617223874,0.06618913584262376,0.0034947825090065913,0.001580736,268.0129377647909,0.00902077957934777,0.0007202546123222434,0.00019831847845029474,6896510
Optimism,2025-03-17,ETH,126.759601686,0.021999083621602737,0.0007214476119503657,6.8792e-05,15.789876458291483,0.0035012348290226823,0.00026351734766668874,1.0008952344185974e-05,724276
Polygon PoS,2025-03-17,POL,6783295.240241464,63.18825575942069,35.54203212614303,25.000000021,94.98442023233008,0.0008848059278320698,0.0004970262832583893,0.00035006739699544554,3184278
zkSync Era,2025-03-17,ETH,6.5,0.056028712010618306,0.04525,0.04525,0.8096623787326389,0.006979129268282314,0.005636495790407986,0.005636495790407985,90997
Arbitrum One,2025-03-18,ETH,0.109655,0.011752002503108632,0.01,0.01,0.01356922979975694,0.0014542485301355073,0.0012374474305555552,0.0012374474305555548,1806151
Base,2025-03-18,ETH,3876.299529417,0.06266593369556368,0.004310085886631852,0.001473984,479.6716916020297,0.007815919594218181,0.0006100287032858753,0.00018416341887635815,7426995
Optimism,2025-03-18,ETH,48.889421305,0.019046538830571103,0.0004235867724437872,6.7146e-05,6.049849482890442,0.002413156088905211,0.00010514097394708865,8.328080298692087e-06,733823
Polygon PoS,2025-03-18,POL,2763869.974364,57.58878321387386,34.42288836979739,0.003591928,37.522172094591845,0.0007818226814256363,0.00046748402613114765,4.8763849897966673e-08,3073222
zkSync Era,2025-03-18,ETH,6.5,0.05706344033276954,0.04525,0.04525,0.8043408298611111,0.0070613007618437005,0.005599449623263889,0.005599449623263887,78170
Arbitrum One,2025-03-19,ETH,0.472143,0.031187620864251486,0.010169846640373542,0.01,0.061089446757875525,0.004035291223828109,0.001308995899969358,0.0012938759392361106,1933690
Base,2025-03-19,ETH,2286.578939012,0.07765439748125427,0.006509412111208124,0.001799697,295.8549482547622,0.010058983884410122,0.0008572041686815088,0.0002330355894004581,7741344
Optimism,2025-03-19,ETH,62.382892086,0.028650361338423625,0.0006692117502940149,7.99e-06,8.071581582763152,0.0037253452161031355,0.00011409323460249961,1.2426342253769427e-06,781355
Polygon PoS,2025-03-19,POL,11596147.518516606,71.53038662122724,37.202170003988535,25.000000021,161.70877199520365,0.0009974942938929454,0.0005185530333563379,0.00034862606713312365,3291295
zkSync Era,2025-03-19,ETH,6.5,0.05704265452839291,0.04525,0.04525,0.8410193605034724,0.007380611820427374,0.005854788625043403,0.005854788625043401,81390
Arbitrum One,2025-03-20,ETH,0.130708,0.013286520150806922,0.01,0.01,0.016986325836548608,0.0017266667726197641,0.001299562829861111,0.0012995628298611106,1695366
Base,2025-03-20,ETH,3173.017771783,0.04706411429388746,0.003628081069686976,0.001474152,412.353597122121,0.006122351071865529,0.0004793808450132143,0.00019177499416980968,8221351
Optimism,2025-03-20,ETH,289.728341065,0.02094230387233427,0.00031952983271084617,4.111e-06,37.65202156179287,0.002733537816902703,5.6085220079269454e-05,6.08807061305839e-07,771324
Polygon PoS,2025-03-20,POL,5536519.030884171,54.857544255205205,33.104161372635524,25.000000022,77.29472086970488,0.0007658600191113974,0.0004638882666890842,0.00034902219475158383,3080882
zkSync Era,2025-03-20,ETH,6.5,0.053291189666142096,0.04525,0.04525,0.8447158394097223,0.006925524924919297,0.005880521805121528,0.005880521805121526,71618
Arbitrum One,2025-03-21,ETH,0.051926,0.010655813171144732,0.01,0.01,0.006655377777027779,0.0013657601620652062,0.0012817043055555555,0.0012817043055555553,1544740
Base,2025-03-21,ETH,6314.7525,0.03545963071787015,0.003860170323863792,0.001368539,809.3645493601751,0.004551822063298035,0.0005012101617782287,0.0001755312281081541,8377076
Optimism,2025-03-21,ETH,200.000438091,0.008185975836845475,0.0004299969438937022,0.000142274,25.634210687410036,0.0010655201770210603,7.231921176331283e-05,1.8519175633248264e-05,1675417
Polygon PoS,2025-03-21,POL,843333.333333333,52.021549202553565,33.064563556418584,0.500000048,11.420413352893512,0.0007044754092700162,0.0004474883476719913,6.7709967090433984e-06,3066302
zkSync Era,2025-03-21,ETH,10.0,0.05268283545822895,0.04525,0.04525,1.2817043055555553,0.006752381703571257,0.005799711982638888,0.005799711982638886,69232
