network,date,fee_token,gwei_high,gwei_avg,gwei_median,gwei_low,cost_usd_high,cost_usd_avg,cost_usd_median,cost_usd_low,tx_count
Polygon PoS,2025-08-04,POL,11902638.159946136,60.134452762700704,31.381665885672188,25.00000008,158.39383471327648,0.0008002365898613277,0.00041826872772344277,0.00033268640340834645,3564550
zkSync Era,2025-08-04,ETH,32,0.05837321387751882,0.04525,0.04525,7.506568116666667,0.013693203317516828,0.01061475647747396,0.010614756477473956,43855
Arbitrum One,2025-08-05,ETH,0.166266,0.01682869892638556,0.010000000750661053,0.01,0.039254777976740624,0.003973192594947286,0.0023609624751302944,0.002360962432291666,2713117
Base,2025-08-05,ETH,2904.761904761,0.026699269457528887,0.005290422249346443,9.6e-08,685.8033791118349,0.006325233639262153,0.001269300120633538,7.832644449733262e-08,8775570
Optimism,2025-08-05,ETH,32.413730938,0.014529388815889804,0.0007956676059662599,2.96e-07,7.652762135359416,0.003465788216900838,0.00023081133452422907,1.3477124891247512e-07,989315
Polygon PoS,2025-08-05,POL,351835.000000325,58.177021958498436,31.800659351042693,25.000000082,4.8858047749717,0.0008078831602262509,0.0004417115700184292,0.00034716591520120413,4051770
zkSync Era,2025-08-05,ETH,6.5,0.06105964551347941,0.04525,0.04525,1.5346255809895832,0.014415952918629385,0.010683355006119792,0.010683355006119789,47780
Arbitrum One,2025-08-06,ETH,0.042171,0.011134767575696482,0.01,0.01,0.009956253061645312,0.002628834122174677,0.002360924109375,0.0023609241093749994,2382750
Base,2025-08-06,ETH,2676.480428236,0.024641183978621597,0.005879037966144243,0.000257231,631.8967199757691,0.005827879358859091,0.0014014857465851427,6.131271413924387e-05,9495829
Optimism,2025-08-06,ETH,64.197710363,0.012766698779242273,0.000945939128730544,3.01e-07,15.156602141720844,0.003032712302588198,0.0002329260833711811,1.3598645605199996e-07,973783
Polygon PoS,2025-08-06,POL,694121.167417142,54.19845386755956,31.12669072236176,25.000000086,9.855800872488663,0.0007695618488383945,0.0004426889215052708,0.0003549740797801385,4043081
zkSync Era,2025-08-06,ETH,6.5,0.060910379606021435,0.04525,0.04525,1.5346006710937499,0.014380478372299235,0.010683181594921874,0.010683181594921872,46845
Arbitrum One,2025-08-07,ETH,0.133996,0.014723740493960039,0.010000000158934824,0.01,0.03290473632411875,0.003615636277640859,0.002455650798881168,0.0024556506406249994,2617153
Base,2025-08-07,ETH,1139.087090042,0.036288365866498994,0.009938807174151522,0.001091586,279.7199951652969,0.008925496342320155,0.002455321236425117,0.0002688233700269969,9065082
Optimism,2025-08-07,ETH,670.292518291,0.01565610725991857,0.0009845025181541688,3.22e-07,164.60043473987724,0.0038746826836843977,0.00025349557902196217,1.3900539485584402e-07,984490
Polygon PoS,2025-08-07,POL,165943.206487268,50.70264346467926,30.63163925119185,25.000000087,2.5306588134594783,0.0007732229252749119,0.0004670422813375733,0.0003812537547989853,4499428
zkSync Era,2025-08-07,ETH,6.5,0.0574161721955732,0.04525,0.04525,1.5961729164062506,0.014099406003428235,0.011111819148828129,0.011111819148828127,46682
Arbitrum One,2025-08-08,ETH,0.291838,0.02655702309122638,0.010053819960107117,0.01,0.0749219109247014,0.0068178335873530374,0.0025779858124775627,0.0025672431597222214,2995986
Base,2025-08-08,ETH,2384.148305774,0.038343700779635524,0.00987900962917509,0.002985835,612.0688476373747,0.009862374868187014,0.002533128749058738,0.0007669523685699562,9868666
Optimism,2025-08-08,ETH,2680.900460846,0.02312235552645349,0.000986982243972383,3.42e-07,688.2523396213585,0.005971670589945421,0.00026725735516266183,1.311016393390416e-07,1019677
Polygon PoS,2025-08-08,POL,520242.841271638,58.201778640705434,31.263448763660417,25.000000089,8.122813553105374,0.0009087336890633085,0.00048759774562344226,0.0003903375951396019,4502202
zkSync Era,2025-08-08,ETH,6.5,0.05932444944895029,0.04525,0.04525,1.6687080538194448,0.01523002870520577,0.011616775297743057,0.011616775297743053,52472
Arbitrum One,2025-08-09,ETH,0.67481,0.022321354940202744,0.010002462008212719,0.01,0.18311058738894107,0.0060569292310705455,0.0027139692208905004,0.002713513246527778,2727296
Base,2025-08-09,ETH,4066.064082621,0.038481528382491755,0.008915746731023255,0.002877082,1103.3318788051192,0.010457490418028712,0.002443101256076445,0.0007812129359962137,9273541
Optimism,2025-08-09,ETH,78.99319602,0.03578207778764394,0.0010005186567012216,3.81e-07,21.434913234760565,0.0097465795566981,0.00030274826068217147,1.6105922966293917e-07,1477257
Polygon PoS,2025-08-09,POL,3165875.407749417,53.43344638373317,30.3210019301952,25.000000076,51.09104820401001,0.000862311504178379,0.00048810212520004334,0.0004034511926327417,4126590
zkSync Era,2025-08-09,ETH,6.5,0.05811601994463435,0.04525000025471893,0.04525,1.7637836102430555,0.015769858995529896,0.012278647501014513,0.012278647440538191,60427
Arbitrum One,2025-08-10,ETH,0.081772,0.012534803049185816,0.01,0.01,0.022452597439638892,0.003441751294437957,0.002745756180555556,0.002745756180555555,2607184
