Date,Price,Open,High,Low,Vol.,Change %
12/8/2023,2.0576,2.016,2.07,2.016,13.70K,2.44%
12/11/2023,2.0524,2.067,2.0752,2.0427,18.67K,-0.25%
12/12/2023,1.9932,2.0666,2.0668,1.9845,22.63K,-2.88%
12/13/2023,2.039,1.9955,2.0521,1.9806,23.98K,2.30%
12/14/2023,2.1292,2.0575,2.1398,2.0494,30.30K,4.42%
12/15/2023,2.1476,2.1305,2.1654,2.1109,22.03K,0.86%
12/18/2023,2.1675,2.1578,2.224,2.1143,19.00K,0.93%
12/19/2023,2.2065,2.1819,2.2127,2.1505,15.51K,1.80%
12/20/2023,2.2071,2.201,2.2232,2.1842,14.31K,0.03%
12/21/2023,2.1666,2.2,2.2,2.142,12.63K,-1.83%
12/22/2023,2.1415,2.1716,2.209,2.1417,9.93K,-1.16%
12/25/2023,2.1343,2.1276,2.135,2.1272,,-0.34%
12/26/2023,2.1724,2.1536,2.1959,2.1365,4.49K,1.79%
12/27/2023,2.1619,2.1678,2.2012,2.153,15.65K,-0.48%
12/28/2023,2.0997,2.1615,2.1669,2.0985,10.73K,-2.88%
12/29/2023,2.1258,2.1346,2.162,2.117,20.50K,1.24%
1/1/2024,2.1269,2.1349,2.1349,2.1227,,0.05%
1/2/2024,2.114,2.1585,2.1887,2.1018,27.10K,-0.61%
1/3/2024,2.1755,2.1095,2.1852,2.0886,27.08K,2.91%
1/4/2024,2.1351,2.172,2.1905,2.1102,31.15K,-1.86%
1/5/2024,2.1313,2.1376,2.1618,2.1266,46.69K,-0.18%
1/8/2024,2.0547,2.1019,2.11,2.0379,37.70K,-3.59%
1/9/2024,2.1032,2.0671,2.1172,2.0613,26.70K,2.36%
1/10/2024,2.0937,2.1093,2.1571,2.0851,34.79K,-0.45%
1/11/2024,2.1365,2.1009,2.1622,2.1009,34.07K,2.04%
1/12/2024,2.1439,2.1749,2.219,2.1408,29.03K,0.35%
1/15/2024,2.1529,2.1495,2.1583,2.1165,5.27K,0.42%
1/16/2024,2.1481,2.1513,2.2101,2.1315,27.13K,-0.22%
1/17/2024,2.1585,2.147,2.1646,2.1042,24.44K,0.48%
1/18/2024,2.2055,2.159,2.2072,2.14,15.03K,2.18%
1/19/2024,2.1852,2.2005,2.2184,2.1778,9.79K,-0.92%
1/22/2024,2.2608,2.1868,2.2638,2.1795,13.34K,3.46%
1/23/2024,2.2333,2.2545,2.2593,2.2066,9.54K,-1.22%
1/24/2024,2.2389,2.2345,2.2712,2.2185,11.57K,0.25%
1/25/2024,2.291,2.2428,2.2922,2.2428,10.97K,2.33%
1/26/2024,2.3258,2.2855,2.331,2.2572,11.59K,1.52%
1/29/2024,2.2646,2.319,2.3355,2.2524,11.63K,-2.63%
