rank,name,slug,url,skynet_score,price_usd,market_cap,trading_volume,tvl_usd,governance_score,security_incident_count,is_exit_scam,has_3rd_party_audit,audit_count,platforms
488,Dot Dot Finance,dot-dot-finance,https://skynet.certik.com/projects/dot-dot-finance,"{'rank': 7482, 'percentile': 0.4050038294613224, 'includedCategories': ['code', 'governance', 'community', 'market', 'operation', 'fundamental'], 'score': 63.05, 'scoreCodeSecurity': 50.46, 'scoreCommunity': 55, 'scoreFundamental': 58.5, 'scoreGovernance': 82.27, 'scoreMarket': 69.01, 'scoreOperation': 68.3}",,1593,1984.425537109375,,,,,False,0,BSC
489,Shibaverse,shibaverse,https://skynet.certik.com/projects/shibaverse,"{'rank': 7495, 'percentile': 0.4055654837886138, 'includedCategories': ['code', 'governance', 'community', 'market', 'operation', 'fundamental'], 'score': 63.02, 'scoreCodeSecurity': 58.75, 'scoreCommunity': 50.14, 'scoreFundamental': 49.84, 'scoreGovernance': 67.63, 'scoreMarket': 74.71, 'scoreOperation': 71.12}",,,13.712666511535645,,,,,False,0,Ethereum
490,Swapscanner,swapscanner,https://skynet.certik.com/projects/swapscanner,"{'rank': 7511, 'percentile': 0.4062803165688027, 'includedCategories': ['code', 'community', 'operation', 'fundamental'], 'score': 63, 'scoreCodeSecurity': 82.21, 'scoreCommunity': 50.1, 'scoreFundamental': 49.6, 'scoreGovernance': None, 'scoreMarket': None, 'scoreOperation': 64.3}",,,,,,,,False,1,
491,Xdoge,xdoge,https://skynet.certik.com/projects/xdoge,"{'rank': 7533, 'percentile': 0.4075568036762829, 'includedCategories': ['code', 'governance', 'community', 'operation', 'fundamental'], 'score': 62.96, 'scoreCodeSecurity': 82.29, 'scoreCommunity': 57.36, 'scoreFundamental': 49.11, 'scoreGovernance': 65.05, 'scoreMarket': None, 'scoreOperation': 55.5}",,,,,,,,False,1,Base|Linea
492,CreamPYE,creampye,https://skynet.certik.com/projects/creampye,"{'rank': 7555, 'percentile': 0.4091907071738575, 'includedCategories': ['code', 'governance', 'community', 'operation', 'fundamental'], 'score': 62.91, 'scoreCodeSecurity': 75.29, 'scoreCommunity': 43.32, 'scoreFundamental': 49.12, 'scoreGovernance': 81.54, 'scoreMarket': None, 'scoreOperation': 66.7}",,,,,,,,False,0,BSC
493,tSILVER,tsilver,https://skynet.certik.com/projects/tsilver,"{'rank': 7568, 'percentile': 0.40959918304825116, 'includedCategories': ['code', 'governance', 'community', 'operation', 'fundamental'], 'score': 62.89, 'scoreCodeSecurity': 51.17, 'scoreCommunity': 55, 'scoreFundamental': 79.5, 'scoreGovernance': 57.2, 'scoreMarket': None, 'scoreOperation': 66.7}",,,,,,,,False,0,Ethereum
494,Duet Protocol,duet,https://skynet.certik.com/projects/duet,"{'rank': 7574, 'percentile': 0.40985448046974726, 'includedCategories': ['code', 'governance', 'community', 'market', 'operation', 'fundamental'], 'score': 62.88, 'scoreCodeSecurity': 86.9, 'scoreCommunity': 43.32, 'scoreFundamental': 49.55, 'scoreGovernance': 69.93, 'scoreMarket': 58.12, 'scoreOperation': 68.3}",8.253554047669909e-05,,1.6628351211547852,,,,,False,2,BSC|Ethereum
495,Glory Finance,glory-finance,https://skynet.certik.com/projects/glory-finance,"{'rank': 7579, 'percentile': 0.41016083737554254, 'includedCategories': ['code', 'governance', 'community', 'operation', 'fundamental'], 'score': 62.87, 'scoreCodeSecurity': 79.78, 'scoreCommunity': 55, 'scoreFundamental': 49.11, 'scoreGovernance': 59.01, 'scoreMarket': None, 'scoreOperation': 68.3}",,,,,,,,False,1,BSC
496,OpenEX,openex,https://skynet.certik.com/projects/openex,"{'rank': 7614, 'percentile': 0.4120500382946132, 'includedCategories': ['code', 'community', 'operation', 'fundamental'], 'score': 62.81, 'scoreCodeSecurity': 74.08, 'scoreCommunity': 66.28, 'scoreFundamental': 49.05, 'scoreGovernance': None, 'scoreMarket': None, 'scoreOperation': 64.3}",,,,,,,,False,2,CoreDAO
497,Compendium,compendium-finance,https://skynet.certik.com/projects/compendium-finance,"{'rank': 7633, 'percentile': 0.41312228746489665, 'includedCategories': ['code', 'community', 'market', 'operation', 'fundamental'], 'score': 62.77, 'scoreCodeSecurity': 49.45, 'scoreCommunity': 43.32, 'scoreFundamental': 79.5, 'scoreGovernance': None, 'scoreMarket': 66.46, 'scoreOperation': 64.3}",5.047599328813856e-05,6019,39.827486515045166,,,,,False,0,Solana
498,Pylon Eco Token,pylon-eco-token,https://skynet.certik.com/projects/pylon-eco-token,"{'rank': 7636, 'percentile': 0.41312228746489665, 'includedCategories': ['code', 'governance', 'community', 'operation', 'fundamental'], 'score': 62.77, 'scoreCodeSecurity': 54.7, 'scoreCommunity': 43.32, 'scoreFundamental': 79.5, 'scoreGovernance': 59.36, 'scoreMarket': None, 'scoreOperation': 68.3}",,,,,,,,False,0,BSC
499,TXA,txa,https://skynet.certik.com/projects/txa,"{'rank': 7644, 'percentile': 0.41363288230788864, 'includedCategories': ['code', 'governance', 'community', 'market', 'operation', 'fundamental'], 'score': 62.76, 'scoreCodeSecurity': 76.07, 'scoreCommunity': 43.32, 'scoreFundamental': 49.4, 'scoreGovernance': 64.92, 'scoreMarket': 66.71, 'scoreOperation': 68.3}",,,,,,,,False,1,Ethereum
